GalID,RAJ2000,DEJ2000,z,X,Y,Z,Grp,Ngal,pred_cc,pred_louvain,pred_leiden,weighted_degree,clustering_coeff
164067,246.83093,21.28466,0.03625,-58.382589727779575,-136.4201279698976,57.808274060070445,27708,3.0,1622,1650,231,0.12458332673806136,0.0
76052,139.33927,18.46221,0.05725,-180.0588043003693,154.6604172014512,79.24638125149403,27709,2.0,22340,22372,27715,0.0,0.0
160628,139.31142,18.486,0.0577,-181.35346024595313,155.92570593492877,79.95991550308882,27709,2.0,22341,22373,27716,0.0,0.0
76060,125.26432,8.21405,0.03989,-100.05068033150938,141.49339409306498,25.015304482323394,27711,2.0,22342,22374,27717,0.0,0.0
333362,125.27558,8.19354,0.0403,-101.10242964521974,142.92120524623422,25.20727593713718,27711,2.0,22343,22375,27718,0.0,0.0
76066,147.8956,35.27935,0.0532,-160.96054220284435,100.98758354614279,134.4373554976661,27713,2.0,22344,22376,12697,0.07968164363192949,0.0
93031,147.97747,35.22275,0.05344,-161.93513710961196,101.27686577268967,134.84742566966275,27713,2.0,22344,22376,12697,0.07968164363192949,0.0
76089,134.39882,3.25093,0.05543,-169.3170278654352,172.90797962999787,13.74586384027493,27719,4.0,22345,22377,6972,0.8070657618312097,0.23421039025814333
112698,134.41992,3.28857,0.05561,-169.9169819822281,173.39287476125745,13.94939150280665,27719,4.0,22345,22377,6972,0.26957277059917567,0.23421039025814333
343259,134.39651,3.27309,0.05509,-168.28161918119437,171.8644721931152,13.755699469920078,27719,4.0,22346,22378,27719,0.0,0.0
441539,134.36781,3.24227,0.0554,-169.13450743787277,172.9086958714892,13.701965425333798,27719,4.0,22345,22377,6972,0.7593487307489419,0.23421039025814333
76101,240.39497,11.85069,0.05348,-113.12461219712516,-199.09463121813826,48.049712268830746,27723,2.0,22347,22379,27720,0.0,0.0
431802,240.39528,11.85548,0.05396,-114.12365335775142,-200.85543234753177,48.494680598474076,27723,2.0,21534,21566,12458,0.14382224487597484,0.0
76103,226.44802,20.82671,0.05117,-144.25037872219923,-151.7322569884835,79.63941500947756,27724,3.0,22348,22380,27721,0.0,0.0
135149,226.54747,20.93139,0.05149,-144.77516280959034,-152.8145536578518,80.51601512758835,27724,3.0,20916,20948,3589,0.557382886763676,0.1942059410083767
203252,226.55968,20.85963,0.05162,-145.1728869864221,-153.2997835703679,80.45240373673128,27724,3.0,20916,20948,3589,0.43985802652604566,0.17280544098919304
76155,183.63912,15.19891,0.02444,-103.69414530524615,-6.594965497493497,28.227875450096487,27737,2.0,1733,1761,389,0.5383094995440719,0.13622087335953872
107050,183.68319,15.29286,0.0245,-103.89567505109194,-6.68802309539074,28.467524230533133,27737,2.0,1733,1761,389,0.5409879930108438,0.13622087335953872
76157,125.60008,29.60149,0.05058,-112.0824292876109,156.5546188496342,109.3848141184945,27738,3.0,22349,22381,27722,0.0,0.0
112780,125.62548,29.60737,0.0501,-111.09385502245848,155.0285520154514,108.37884211348732,27738,3.0,22350,22382,1272,0.13519815846289135,0.0
143304,125.59333,29.5842,0.04918,-109.01754152988583,152.31154841825756,106.33645061510299,27738,3.0,22351,22383,27723,0.0,0.0
76165,240.24994,18.3062,0.03012,-62.42801750895979,-109.22611127430268,41.622052717403754,27741,2.0,22352,22384,27724,0.0,0.0
262821,240.1726,18.12614,0.03042,-63.25954199926519,-110.33500311390101,41.63413140996711,27741,2.0,22353,22385,27725,0.0,0.0
76184,164.32404,60.2197,0.04608,-96.57742920836068,27.102972897519678,175.28802887275882,27747,3.0,22354,22386,27726,0.0,0.0
177017,164.37487,60.22187,0.04563,-95.6620562481511,26.75455987302551,173.598730591452,27747,3.0,22355,22387,12698,0.07082689538930287,0.0
225948,164.43384,60.08623,0.04539,-95.58528977969395,26.62704699653415,172.46116902561334,27747,3.0,22355,22387,12698,0.07082689538930287,0.0
76193,219.56965,54.35038,0.03166,-62.556009389583785,-51.69504183936476,113.14463438557004,27751,2.0,22356,22388,12699,0.4805881065342133,0.0
113633,219.44852,54.43375,0.03162,-62.45954067273399,-51.393487146146725,113.12056736136027,27751,2.0,22356,22388,12699,0.4805881065342133,0.0
76195,178.81326,29.26358,0.05819,-221.7925375883975,4.594539502589552,124.30551674983478,27752,2.0,22357,22389,27727,0.0,0.0
139655,178.94168,29.27313,0.05718,-217.9852615808116,4.026900487677285,122.21408521521627,27752,2.0,22358,22390,27728,0.0,0.0
76205,226.39825,25.67868,0.04361,-118.86618532241039,-124.81415738888772,82.87197455663849,27754,2.0,22359,22391,12700,0.28817142517602234,0.0
259315,226.31993,25.81444,0.04357,-118.79282470625682,-124.39619161462161,83.20455391767712,27754,2.0,22359,22391,12700,0.28817142517602234,0.0
76219,170.45844,42.46241,0.02544,-81.51705592438076,13.702069154868818,75.6447904755188,27759,2.0,22360,22392,6973,0.527917905661227,0.0
205427,170.29233,42.53309,0.0254,-81.25775349377074,13.900837964002147,75.62832054419046,27759,2.0,22360,22392,6973,0.4700437353750736,0.0
76221,192.14529,28.84696,0.02333,-88.03404053099304,-18.945660889742655,49.6013409863732,27760,2.0,22361,22393,27729,0.0,0.0
569442,192.42196,28.84481,0.02268,-85.50630273432114,-18.834139417626172,48.22352654359489,27760,2.0,22362,22394,27730,0.0,0.0
76247,198.09248,49.58784,0.05529,-148.99717849350102,-48.67814072852964,184.09829568427264,27769,2.0,22363,22395,2398,0.42714110427789814,0.04188817640989704
163954,198.05393,49.60866,0.0551,-148.46118020956214,-48.39250161436582,183.53082301677296,27769,2.0,22363,22395,2398,0.30505534853155153,0.13360052825001625
76275,158.36248,42.94496,0.02588,-77.55158204261986,30.763604083957162,77.650488433615,27781,2.0,22364,22396,27731,0.0,0.0
300932,158.09543,42.84839,0.02625,-78.6301802142075,31.61641518889959,78.61099785413202,27781,2.0,22365,22397,27732,0.0,0.0
76342,223.16724,17.88564,0.05916,-179.4077806086442,-168.28218468203357,79.38122400206774,27803,4.0,3651,3682,1210,0.6033458658802476,0.08775013625710161
152663,223.19175,17.84518,0.05941,-180.12372271951955,-169.09863373816574,79.53741073914954,27803,4.0,3651,3682,1210,0.187603645469464,0.042698505133495566
339432,223.17088,17.83056,0.05911,-179.30315807834444,-168.20546463987796,79.07878419509498,27803,4.0,3651,3682,1210,0.6019349462870178,0.0877501362571016
453341,223.16305,17.89508,0.05887,-178.5435831784146,-167.44703595179766,79.0379625885309,27803,4.0,3651,3682,1210,0.13973476524740608,0.13515489337081812
76425,253.35057,26.09483,0.03484,-39.396140883679934,-131.73650382769532,67.34572715671513,27830,2.0,2571,2600,311,0.669632340987905,0.032883371267613495
479183,253.3589,26.0884,0.03472,-39.244641254682264,-131.29944269508792,67.10030989910862,27830,2.0,2571,2600,311,0.6075250134601676,0.08565051217837384
76456,225.86067,29.02405,0.04749,-126.70319198815824,-130.56808975312003,100.95017798493458,27839,2.0,22366,22398,12701,0.3012922286523873,0.0
236070,225.86372,29.02543,0.04761,-127.01102394892112,-130.8992534545356,101.20673883817844,27839,2.0,22366,22398,12701,0.3012922286523873,0.0
76494,168.51155,28.62626,0.02998,-113.45962373976128,23.05980377041376,63.193766141626355,27852,5.0,1002,1026,274,0.4370484081226637,0.07200192830982259
228860,168.36057,28.47261,0.02962,-112.20995833633152,23.113882717684643,62.133268222113365,27852,5.0,1002,1026,274,0.29150494631275586,0.0
264287,168.78545,29.02697,0.0295,-111.33364567365597,22.07403808258753,62.98441121250198,27852,5.0,1002,1026,274,0.0499400616713429,0.0
481864,168.72587,28.84159,0.03001,-113.42395001845105,22.611088848151116,63.69165874913074,27852,5.0,1002,1026,274,0.49183153003542834,0.2160057849294678
